instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_celcius,hum_percent,windspeed_kmh,temp_group,hum_group,windspeed_group
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,17.2,88.0,17.0,Sedang,Sangat Tinggi,Tinggi
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,16.4,87.0,17.0,Sedang,Sangat Tinggi,Tinggi
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,16.4,87.0,13.0,Sedang,Sangat Tinggi,Sedang
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,16.4,94.0,15.0,Sedang,Sangat Tinggi,Tinggi
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,18.9,88.0,20.0,Sedang,Sangat Tinggi,Sangat Tinggi
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,18.9,88.0,20.0,Sedang,Sangat Tinggi,Sangat Tinggi
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,18.0,94.0,17.0,Sedang,Sangat Tinggi,Tinggi
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,17.2,100.0,19.0,Sedang,Sangat Tinggi,Sangat Tinggi
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,18.9,94.0,13.0,Sedang,Sangat Tinggi,Sedang
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,18.9,94.0,13.0,Sedang,Sangat Tinggi,Sedang
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,17.2,77.0,20.0,Sedang,Tinggi,Sangat Tinggi
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,16.4,76.0,13.0,Sedang,Tinggi,Sedang
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,16.4,71.0,15.0,Sedang,Tinggi,Tinggi
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,15.6,76.0,15.0,Sedang,Tinggi,Tinggi
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,14.8,81.0,15.0,Sedang,Sangat Tinggi,Tinggi
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,14.8,71.0,17.0,Sedang,Tinggi,Tinggi
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,14.8,66.0,20.0,Sedang,Tinggi,Sangat Tinggi
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,14.8,66.0,9.0,Sedang,Tinggi,Sedang
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,14.8,76.0,13.0,Sedang,Tinggi,Sedang
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,13.9,81.0,11.0,Rendah,Sangat Tinggi,Sedang
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,13.9,71.0,11.0,Rendah,Tinggi,Sedang
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,13.9,57.0,13.0,Rendah,Sedang,Sedang
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,14.8,46.0,22.0,Sedang,Rendah,Sangat Tinggi
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,13.1,42.0,30.0,Rendah,Rendah,Sangat Tinggi
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,12.3,39.0,24.0,Rendah,Rendah,Sangat Tinggi
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,10.7,44.0,22.0,Rendah,Rendah,Sangat Tinggi
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,9.8,44.0,20.0,Rendah,Rendah,Sangat Tinggi
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,9.0,47.0,11.0,Rendah,Rendah,Sedang
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,9.0,44.0,24.0,Rendah,Rendah,Sangat Tinggi
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,8.2,44.0,28.0,Rendah,Rendah,Sangat Tinggi
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,6.6,47.0,26.0,Rendah,Rendah,Sangat Tinggi
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,6.6,47.0,19.0,Rendah,Rendah,Sangat Tinggi
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,5.7,50.0,26.0,Rendah,Sedang,Sangat Tinggi
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,5.7,50.0,13.0,Rendah,Sedang,Sedang
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,5.7,50.0,19.0,Rendah,Sedang,Sangat Tinggi
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,6.6,43.0,26.0,Rendah,Rendah,Sangat Tinggi
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,7.4,43.0,17.0,Rendah,Rendah,Tinggi
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,8.2,40.0,22.0,Rendah,Rendah,Sangat Tinggi
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,9.0,35.0,20.0,Rendah,Rendah,Sangat Tinggi
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,9.8,35.0,19.0,Rendah,Rendah,Sangat Tinggi
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,10.7,30.0,19.0,Rendah,Rendah,Sangat Tinggi
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,10.7,30.0,17.0,Rendah,Rendah,Tinggi
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,10.7,30.0,17.0,Rendah,Rendah,Tinggi
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,9.8,30.0,15.0,Rendah,Rendah,Tinggi
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,9.8,32.0,7.0,Rendah,Rendah,Rendah
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,8.2,47.0,0.0,Rendah,Rendah,Rendah
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,8.2,47.0,7.0,Rendah,Rendah,Rendah
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,7.4,64.0,9.0,Rendah,Tinggi,Sedang
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,5.7,69.0,9.0,Rendah,Tinggi,Sedang
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,7.4,55.0,7.0,Rendah,Sedang,Rendah
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,6.6,55.0,7.0,Rendah,Sedang,Rendah
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,6.6,59.0,7.0,Rendah,Sedang,Rendah
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,5.7,63.0,9.0,Rendah,Sedang,Sedang
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,5.7,63.0,6.0,Rendah,Sedang,Rendah
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4.9,68.0,7.0,Rendah,Tinggi,Rendah
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,4.9,74.0,7.0,Rendah,Tinggi,Rendah
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,4.9,74.0,9.0,Rendah,Tinggi,Sedang
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,5.7,69.0,11.0,Rendah,Tinggi,Sedang
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,6.6,64.0,15.0,Rendah,Tinggi,Tinggi
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,6.6,69.0,22.0,Rendah,Tinggi,Sangat Tinggi
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,9.0,51.0,20.0,Rendah,Sedang,Sangat Tinggi
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,9.0,51.0,11.0,Rendah,Sedang,Sedang
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,9.8,56.0,13.0,Rendah,Sedang,Sedang
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,10.7,52.0,15.0,Rendah,Sedang,Tinggi
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,11.5,52.0,17.0,Rendah,Sedang,Tinggi
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,12.3,49.0,17.0,Rendah,Sedang,Tinggi
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,11.5,48.0,15.0,Rendah,Rendah,Tinggi
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,10.7,48.0,13.0,Rendah,Rendah,Sedang
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,9.8,48.0,7.0,Rendah,Rendah,Rendah
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,9.8,48.0,7.0,Rendah,Rendah,Rendah
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,9.0,64.0,0.0,Rendah,Tinggi,Rendah
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,9.0,64.0,6.0,Rendah,Tinggi,Rendah
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,8.2,69.0,6.0,Rendah,Tinggi,Rendah
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,8.2,64.0,0.0,Rendah,Tinggi,Rendah
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,6.6,74.0,6.0,Rendah,Tinggi,Rendah
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,6.6,74.0,6.0,Rendah,Tinggi,Rendah
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,9.8,48.0,15.0,Rendah,Rendah,Tinggi
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,9.0,47.0,11.0,Rendah,Rendah,Sedang
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,8.2,47.0,15.0,Rendah,Rendah,Tinggi
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,7.4,43.0,13.0,Rendah,Rendah,Sedang
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,8.2,40.0,20.0,Rendah,Rendah,Sangat Tinggi
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,9.0,37.0,22.0,Rendah,Rendah,Sangat Tinggi
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,9.0,37.0,22.0,Rendah,Rendah,Sangat Tinggi
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,10.7,33.0,22.0,Rendah,Rendah,Sangat Tinggi
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,10.7,33.0,22.0,Rendah,Rendah,Sangat Tinggi
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,11.5,30.0,20.0,Rendah,Rendah,Sangat Tinggi
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,12.3,28.0,13.0,Rendah,Rendah,Sedang
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,12.3,28.0,13.0,Rendah,Rendah,Sedang
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,12.3,28.0,6.0,Rendah,Rendah,Rendah
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,9.8,38.0,13.0,Rendah,Rendah,Sedang
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,9.8,38.0,9.0,Rendah,Rendah,Sedang
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,9.8,38.0,7.0,Rendah,Rendah,Rendah
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,9.0,47.0,11.0,Rendah,Rendah,Sedang
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,8.2,51.0,13.0,Rendah,Sedang,Sedang
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,7.4,55.0,9.0,Rendah,Sedang,Sedang
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,8.2,47.0,0.0,Rendah,Rendah,Rendah
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,7.4,55.0,0.0,Rendah,Sedang,Rendah
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,6.6,64.0,0.0,Rendah,Tinggi,Rendah
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,6.6,64.0,0.0,Rendah,Tinggi,Rendah
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,6.6,64.0,6.0,Rendah,Tinggi,Rendah
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,5.7,69.0,6.0,Rendah,Tinggi,Rendah
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,5.7,63.0,7.0,Rendah,Sedang,Rendah
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,6.6,59.0,0.0,Rendah,Sedang,Rendah
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,6.6,59.0,0.0,Rendah,Sedang,Rendah
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,7.4,51.0,0.0,Rendah,Sedang,Rendah
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,8.2,47.0,0.0,Rendah,Rendah,Rendah
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,9.0,44.0,6.0,Rendah,Rendah,Rendah
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,10.7,35.0,0.0,Rendah,Rendah,Rendah
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,10.7,35.0,7.0,Rendah,Rendah,Rendah
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,11.5,36.0,11.0,Rendah,Rendah,Sedang
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,11.5,36.0,0.0,Rendah,Rendah,Rendah
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,10.7,38.0,11.0,Rendah,Rendah,Sedang
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,9.0,51.0,11.0,Rendah,Sedang,Sedang
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,9.0,51.0,9.0,Rendah,Sedang,Sedang
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,9.0,55.0,6.0,Rendah,Sedang,Rendah
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,8.2,51.0,11.0,Rendah,Sedang,Sedang
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,9.0,55.0,15.0,Rendah,Sedang,Tinggi
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,9.0,51.0,19.0,Rendah,Sedang,Sangat Tinggi
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,8.2,59.0,13.0,Rendah,Sedang,Sedang
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,8.2,64.0,13.0,Rendah,Tinggi,Sedang
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,8.2,69.0,15.0,Rendah,Tinggi,Tinggi
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,8.2,69.0,15.0,Rendah,Tinggi,Tinggi
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,8.2,69.0,9.0,Rendah,Tinggi,Sedang
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,9.0,55.0,0.0,Rendah,Sedang,Rendah
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,8.2,69.0,0.0,Rendah,Tinggi,Rendah
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,8.2,69.0,9.0,Rendah,Tinggi,Sedang
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,8.2,51.0,17.0,Rendah,Sedang,Tinggi
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,8.2,47.0,20.0,Rendah,Rendah,Sangat Tinggi
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,9.0,37.0,22.0,Rendah,Rendah,Sangat Tinggi
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,8.2,40.0,15.0,Rendah,Rendah,Tinggi
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,8.2,37.0,17.0,Rendah,Rendah,Tinggi
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,8.2,37.0,19.0,Rendah,Rendah,Sangat Tinggi
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,8.2,40.0,17.0,Rendah,Rendah,Tinggi
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,8.2,37.0,11.0,Rendah,Rendah,Sedang
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,8.2,37.0,11.0,Rendah,Rendah,Sedang
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,8.2,37.0,0.0,Rendah,Rendah,Rendah
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,8.2,40.0,6.0,Rendah,Rendah,Rendah
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,6.6,55.0,6.0,Rendah,Sedang,Rendah
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,7.4,47.0,7.0,Rendah,Rendah,Rendah
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,7.4,47.0,9.0,Rendah,Rendah,Sedang
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,7.4,43.0,11.0,Rendah,Rendah,Sedang
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,7.4,51.0,11.0,Rendah,Sedang,Sedang
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,7.4,51.0,11.0,Rendah,Sedang,Sedang
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,7.4,55.0,6.0,Rendah,Sedang,Rendah
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,7.4,55.0,0.0,Rendah,Sedang,Rendah
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,7.4,55.0,11.0,Rendah,Sedang,Sedang
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,7.4,55.0,11.0,Rendah,Sedang,Sedang
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,6.6,74.0,11.0,Rendah,Tinggi,Sedang
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,6.6,74.0,11.0,Rendah,Tinggi,Sedang
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,6.6,74.0,7.0,Rendah,Tinggi,Rendah
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,6.6,93.0,7.0,Rendah,Sangat Tinggi,Rendah
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,6.6,93.0,7.0,Rendah,Sangat Tinggi,Rendah
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,7.4,80.0,11.0,Rendah,Sangat Tinggi,Sedang
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,8.2,69.0,26.0,Rendah,Tinggi,Sangat Tinggi
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,8.2,59.0,24.0,Rendah,Sedang,Sangat Tinggi
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,8.2,44.0,22.0,Rendah,Rendah,Sangat Tinggi
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,8.2,32.0,33.0,Rendah,Rendah,Sangat Tinggi
